YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW
1985,1,12,1,935,1012.7,21,20,19.5,91,22.7,0,0,0
1985,1,12,2,935.6,1013.4,20.8,20.2,19.9,95,23.2,0,0,0
1985,1,12,3,937.6,1016.3,19,18.6,18.4,96,21.2,5,2,0
1985,1,12,4,938.2,1016.9,19.4,18.4,17.8,91,20.4,0,0,0
1985,1,12,5,937.4,1015.9,19.8,19,18.6,93,21.4,0,0,0
1985,1,12,6,935.9,1014.5,19,17.6,16.8,87,19.1,0,0,0
1985,1,12,7,937.4,1016.1,19,18.2,17.8,92,20.4,0,0,2
1985,1,12,8,937.5,1015.4,20.4,18.8,17.9,86,20.5,18,2,2
1985,1,12,9,937.3,1015.8,19.4,17.8,16.9,85,19.3,0,0,2
1985,1,12,10,938,1017.1,17.8,16.8,16.2,90,18.4,18,32,2
1985,1,12,11,937.3,1016.4,17.2,16.4,15.9,92,18.1,14,2,1
1985,1,12,12,937.1,1016.2,18,16.8,16.1,88,18.3,18,2,2
1985,1,12,13,938.7,1017.6,18.8,17.4,16.6,87,18.9,0,0,1
1985,1,12,14,938.1,1017.3,17.6,16.8,16.3,92,18.5,0,0,2
1985,1,12,15,936.3,1015,18.4,17.6,17.1,92,19.5,14,2,2
1985,1,12,16,937.2,1015.9,18.6,17.6,17,91,19.4,0,0,1
1985,1,12,17,938.5,1017.7,18,17.4,17.1,94,19.5,0,0,1
1985,1,12,18,939,1017.9,18.2,17.2,16.6,90,18.9,14,4,2
1985,1,12,19,937.5,1016.6,17.8,16.8,16.2,90,18.4,0,0,0
1985,1,12,20,936.3,1015.5,18.4,17.2,16.5,89,18.8,0,0,3
1985,1,12,21,936,1014.9,17.8,16.8,16.2,90,18.4,18,2,4
1985,1,12,22,936.5,1015.8,16.6,15.5,15,90,17,0,0,2
1985,1,12,23,938.1,1017.6,16.4,15.5,14.7,90,16.7,0,0,1
1985,1,12,24,937.3,1017.1,16.8,16.4,16.2,93,18.4,0,0,9
1985,1,12,25,936.3,1015.4,17.6,14.8,12.8,74,14.8,18,2,2
1985,1,12,26,934.9,1015.1,17,16,15.4,90,17.5,0,0,1
1985,1,12,27,935.2,1014.4,16.4,15.6,15.1,92,17.2,0,0,1
1985,1,12,28,935.4,1014.8,15.6,15.2,14.9,96,16.9,0,0,  
1985,1,12,29,935.4,1014.6,16.6,14.8,13.6,82,15.6,0,0,0
1985,1,12,30,935.6,1015.3,14.6,13.6,12.9,89,14.9,0,0,0
1985,1,12,31,934.7,1013.3,18.4,17,16.2,87,18.4,18,4,4
1985,1,48,1,931.7,1008.6,23.6,22,21.3,87,25.3,0,0,0
1985,1,48,2,934.1,1011.7,21.8,21,20.6,93,24.3,0,0,0
1985,1,48,3,935.8,1013.6,21.2,20.4,20,93,23.4,0,0,0
1985,1,48,4,935,1012,24.4,20.6,18.6,70,21.4,0,0,0
1985,1,48,5,934.1,1010.8,25.4,20.2,17.4,61,19.9,0,0,0
1985,1,48,6,933.4,1005.7,26.6,19.2,14.8,47,16.8,0,0,0
1985,1,48,7,934,1010.3,26.4,20.8,17.9,59,20.5,14,2,1
1985,1,48,8,934,1010.6,26,19.6,16,54,18.2,9,8,1
1985,1,48,9,934.7,1011.4,25.4,19.2,15.6,55,17.7,14,2,1
1985,1,48,10,934.3,1011.3,25,19,15.5,56,17.6,14,4,4
1985,1,48,11,933.8,1010.4,25.2,18.4,14.2,51,16.2,14,4,3
1985,1,48,12,934.1,1010.8,25.2,18.2,13.8,49,15.8,14,2,3
1985,1,48,13,935.1,1011.8,25.4,17.8,12.9,46,14.9,14,6,7
1985,1,48,14,934.8,1011.8,24.4,18.4,14.7,55,16.7,9,6,8
1985,1,48,15,934,1010.8,24.2,17.6,13.3,51,15.3,9,8,10
1985,1,48,16,934.1,1010.8,25.4,18.4,14.1,49,16.1,9,8,6
1985,1,48,17,935.4,1012.1,25.4,18,13.3,47,15.3,14,6,8
1985,1,48,18,935.4,1011.9,26.4,17.8,12.1,41,14.1,14,6,3
1985,1,48,19,933.9,1010.5,26,18.8,14.4,49,16.4,14,2,3
1985,1,48,20,932.8,1009.1,26.5,18.6,13.5,44,15.5,9,6,5
1985,1,48,21,932.3,1008.9,25.4,17.4,12,43,14,9,2,8
1985,1,48,22,933.9,1010.7,24.8,16.4,10.3,40,12.5,9,6,5
1985,1,48,23,935.1,1011.3,27.4,19,13.8,43,15.8,5,2,1
1985,1,48,24,934,1010.6,25.8,17.6,12.1,43,14.1,5,6,6
1985,1,48,25,932.5,1009.1,26,17.8,12.4,43,14.4,5,4,3
1985,1,48,26,931.7,1007.8,26.4,18,12.5,42,14.5,14,4,3
1985,1,48,27,931.6,1007.4,27.4,17.4,10.4,34,12.6,14,6,3
1985,1,48,28,931.9,1007.5,28.4,16.8,7.9,28,10.7,14,2,3
1985,1,48,29,932.4,1008.2,28.4,16,5.7,24,9.2,9,6,3
1985,1,48,30,932.1,1008.1,28,15.6,5,23,8.7,9,8,7
1985,1,48,31,930.8,1006.6,27.2,18.8,13.6,43,15.6,14,8,8
1985,2,12,1,934.6,1012.9,19.6,18,17.1,85,19.5,18,4,3
1985,2,12,2,934.9,1013.2,19.4,18.4,17.8,91,22.5,18,2,1
1985,2,12,3,934.6,1013.5,17.6,16.8,16.3,92,18.5,0,0,2
1985,2,12,4,933.2,1012.8,14.8,14.6,14.5,98,16.5,0,0,2
1985,2,12,5,931.1,1009.1,19.6,14.6,10.8,57,13,0,0,1
1985,2,12,6,929.8,1007.3,20.8,14.5,10.7,52,12.9,18,2,4
1985,2,12,7,930.7,1008.4,20.4,16.2,13.4,64,15.4,0,0,2
1985,2,12,8,930.2,1008.2,20,16,13.3,65,15.3,0,0,3
1985,2,12,9,929.5,1007.3,19.2,16,13.9,71,15.9,14,2,4
1985,2,12,10,931.2,1008.9,21,16,12.6,58,14.6,0,0,2
1985,2,12,11,931.9,1009.3,21.4,19.4,18.3,83,21,0,0,1
1985,2,12,12,934.4,1012.2,22,19.7,18.6,81,21.4,18,4,4
1985,2,12,13,931.9,1009.3,22,20,19,83,22,14,2,6
1985,2,12,14,931.6,1009.6,20,18.4,17.5,86,20,0,0,6
1985,2,12,15,930.9,1008.6,20.8,18.6,17.4,81,19.9,14,2,4
1985,2,12,16,930,1007.8,20,18.6,17.8,87,20.4,14,2,1
1985,2,12,17,931.9,1009.6,20.6,18.6,17.5,82,20.1,0,0,3
1985,2,12,18,933.3,1011.5,20,18.4,17.5,86,20.1,9,2,3
1985,2,12,19,933.7,1011.9,19.4,18.8,18.5,94,21.3,18,2,2
1985,2,12,21,933.9,1012.3,19,14.6,11.3,61,13.4,18,2,2
1985,2,12,22,933.8,1011.7,20.6,14.6,10,51,12.3,18,2,2
1985,2,12,23,933.7,1011.9,19.2,14.4,10.8,58,13,0,0,3
1985,2,12,24,933.2,1011.9,18,15,12.9,72,14.9,0,0,3
1985,2,12,25,933.4,1012.1,17.8,14.4,11.9,68,13.9,18,4,3
1985,2,12,26,933.3,1011.7,18.4,13,8.5,52,11.1,0,0,1
1985,2,12,27,934.8,1013.1,19.2,12.4,6.2,43,9.5,18,2,2
1985,2,12,28,936.2,1014.1,21.4,18.6,17,76,19.4,18,4,3
1985,2,48,1,930.7,1006.3,29,18.2,10.9,32,13,9,4,4
1985,2,48,2,931.6,1007.4,27.4,18.8,13.4,42,15.4,9,8,6
1985,2,48,3,930.6,1006.2,28.8,17.4,9.1,29,11.6,0,0,7
1985,2,48,4,929.1,1004.5,28.8,17,8.1,27,10.8,14,2,5
1985,2,48,5,927.7,1002.4,30.4,17,6.4,22,8.6,5,2,4
1985,2,48,6,926.5,1001.2,31,17.6,7.5,23,10.4,36,6,1
1985,2,48,7,927.5,1002.2,31,17.4,6.9,22,9.9,0,0,3
1985,2,48,8,926.8,1001.5,30.4,17.6,8.1,25,10.8,0,0,2
1985,2,48,9,927,1001.5,31.6,18.6,9.6,26,16.1,5,6,2
1985,2,48,10,927.3,1002,31,15,11.1,29,13.2,0,0,2
1985,2,48,11,927.5,1002.5,29.2,20.8,16.2,45,18.4,14,4,2
1985,2,48,12,928.6,1003.3,31.6,20,12.9,32,14.9,18,6,4
1985,2,48,13,928.6,1003.3,31.8,19.6,11.8,30,13.8,18,4,7
1985,2,48,14,927.7,1002.2,31.2,19.4,11.9,31,13.9,14,6,6
1985,2,48,15,926.4,1001.1,31,19.4,12,31,14,0,0,1
1985,2,48,16,927.4,1002.4,29.4,20,14.5,40,16.5,9,12,5
1985,2,48,17,929.3,1004.7,28.4,19.8,14.8,43,16.8,9,10,7
1985,2,48,18,929.6,1005,28.6,19,13,38,15,9,4,6
1985,2,48,19,929.9,1005.1,30,17.2,7.4,24,10.3,9,2,4
1985,2,48,20,930.4,1005.7,30,17.8,9,27,11.5,9,4,6
1985,2,48,21,930.5,1005.8,29.6,16.8,6.7,24,9.6,36,4,8
1985,2,48,22,930.6,1006.2,29,16.8,7.3,26,10.2,9,8,8
