YEAR,MN,DT,MAX,MIN,AW,RF,DRNRF(hrs),DRNRF(mnts)
1985,12,11,24.2,14.5,0,0,0,0
1985,12,12,23.2,14.8,2,0,0,0
1985,12,13,24.4,17.4,1,0,0,0
1985,12,14,21,18.6,5,3.6,1,20
1985,12,15,22.4,19.6,2,0.8,0,10
1985,12,16,26,18.8,1,5,1,12
1985,12,17,25.2,15.8,1,0,0,0
1985,12,18,24.4,15.8,1,0,0,0
1985,12,19,25,14.1,1,0,0,0
1985,12,20,26,15.1,1,0,0,0
1985,12,21,26,15.7,1,0,0,0
1985,12,22,25,15.7,3,0,0,0
1985,12,23,20,15.5,2,0,0,0
1985,12,24,25.2,15.1,1,0,0,0
1985,12,25,24.8,14.7,1,0,0,0
1985,12,26,25.2,16.3,0,0,0,0
1985,12,28,26.8,19,0,0,0,0
1985,12,29,26.8,21.2,2,0,0,0
1985,12,30,25.4,14.6,2,0,0,0
1985,12,31,24.6,14.5,2,0,0,0
1986,1,1,22.6,14.8,2,0,0,0
1986,1,2,24.6,13.8,1,0,0,0
1986,1,3,24.3,13.8,1,0,0,0
1986,1,4,23.5,14.5,1,0,0,0
1986,1,5,25.6,13.6,1,0,0,0
1986,1,6,24.2,14.2,1,0,0,0
1986,1,7,24.8,14.1,2,0,0,0
1986,1,8,23.6,14.2,3,0,0,0
1986,1,9,24.4,17,1,0,0,0
1986,1,10,24.5,15.8,1,0,0,0
1986,1,11,24.5,16.6,2,0,0,0
1986,1,12,24.6,18.2,1,0,0,0
1986,1,13,22,18.2,6,2.4,0,18
1986,1,14,18.5,17,2,8.4,4,31
1986,1,15,20.6,19.4,0,6.2,3,39
1986,1,16,22.8,15.8,3,62,2,10
1986,1,17,20,13.6,1,0,0,0
1986,1,18,23.2,15,1,0,0,0
1986,1,19,23.4,16.4,3,0,0,0
1986,1,20,25,16.8,0,0,0,0
1986,1,21,24.4,16.8,1,0,0,0
1986,1,22,25,19,2,0,0,0
1986,1,23,24.1,13.4,3,0,0,0
1986,1,24,25.4,14.6,3,0,0,0
1986,1,25,27,15,1,0,0,0
1986,1,26,26.2,14.4,4,0,0,0
1986,1,27,24.1,12.4,3,0,0,0
1986,1,28,24.8,15.8,3,0,0,0
1986,1,29,25.2,16,1,0,0,0
1986,1,30,26.6,17.1,1,0,0,0
1986,1,31,27.2,17.2,1,0,0,0
1986,2,1,21,16.8,0,0,0,0
1986,2,2,21.6,17.6,1,0,0,0
1986,2,3,29,16.4,1,0,0,0
1986,2,4,28,15.6,1,0,0,0
1986,2,5,28,15.4,3,0,0,0
1986,2,6,28.8,14,2,0,0,0
1986,2,7,26.8,15.6,5,0,0,0
1986,2,8,25,16.4,3,0,0,0
1986,2,9,26.8,18.6,2,0,0,0
1986,2,10,28,17.8,2,0,0,0
1986,2,11,27.8,18.6,2,0,0,0
1986,2,12,27.8,20,2,0,0,0
1986,2,13,28.2,18.8,2,0,0,0
1986,2,14,28.8,19.8,2,0,0,0
1986,2,15,25.6,20.4,1,11.2,1,0
1986,2,16,,19.6,1,2.6,1,10
1986,2,17,,,  ,,  ,  
1986,2,18,29.6,21.4,  ,0,0,0
1986,2,19,24.4,19.8,1,0,0,0
1986,2,20,28.8,18,  ,0,0,0
1986,2,21,28.4,18.2,2,0,0,0
1986,2,22,28.6,16.6,3,0,0,0
1986,2,23,27.8,14.2,2,0,0,0
1986,2,24,28,14.8,1,0,0,0
1986,2,25,27.8,18.2,3,0,0,0
1986,2,26,29.2,18,3,0,0,0
1986,2,27,28.2,17.6,4,0,0,0
1986,2,28,27.6,16.2,3,0,0,0
1986,3,1,25,17.4,4,0,0,0
1986,3,2,28.6,18,5,0,0,0
1986,3,3,30,18,4,0,0,0
1986,3,4,28.8,18.4,7,0,0,0
1986,3,5,29,19,5,0,0,0
1986,3,6,29.6,18.4,4,0,0,0
1986,3,7,29.8,18.4,3,0,0,0
1986,3,8,30,18.2,4,0,0,0
1986,3,9,31.2,18.6,4,0,0,0
1986,3,10,29.4,18.6,4,0,0,0
1986,3,11,28.5,20,4,0,0,0
1986,3,12,30.5,20.4,3,0,0,0
1986,3,13,32,20,3,0,0,0
1986,3,14,32.2,18.6,3,0,0,0
1986,3,15,33.6,19.4,2,0,0,0
1986,3,16,34.2,20.4,4,0,0,0
1986,3,17,30.2,20.4,3,0,0,0
1986,3,18,34,21.8,4,0,0,0
1986,3,19,32.6,20.4,4,0,0,0
1986,3,20,33,22,3,0,0,0
1986,3,21,34.2,21.6,3,0,0,0
1986,3,22,33.4,21,3,0,0,0
1986,3,23,35,20.6,5,0,0,0
1986,3,24,34.2,21.2,3,0,0,0
1986,3,25,34.7,20.6,3,0,0,0
1986,3,26,35,20,5,0,0,0
1986,3,27,33,19.6,5,0,0,0
1986,3,28,34,20.2,4,0,0,0
1986,3,29,34.8,20.4,3,0,0,0
1986,3,30,36.2,23.2,3,0,0,0
1986,3,31,35.4,22.2,2,0,0,0
1986,4,2,33,20.2,3,0,0,0
1986,4,3,35.4,19.4,4,0,0,0
1986,4,4,29.2,19.8,4,0,0,0
1986,4,5,34,15.2,2,0,0,0
1986,4,7,33.8,20,4,0,0,0
1986,4,8,34.4,20.9,4,0,0,0
1986,4,9,34.2,20.4,4,0,0,0
1986,4,10,35.6,22.6,3,0,0,0
1986,4,11,36,22.6,3,0,0,0
1986,4,12,35.8,22.5,4,0,0,0
1986,4,14,35.4,22,4,0,0,0
1986,4,15,36.4,21.8,5,0,0,0
1986,4,17,36.4,22.7,3,0,0,0
1986,4,18,36.6,24.6,2,0,0,0
1986,4,19,35.7,24.4,4,0,0,0
1986,4,20,36.6,23.2,5,0,0,0
1986,4,21,35.6,23.6,4,0,0,0
1986,4,22,35.2,22.6,3,0,0,0
1986,4,23,35,23,3,0,0,0
1986,4,24,35.2,23.2,4,0,0,0
1986,4,25,35.8,23.4,3,0,0,0
1986,4,26,35.6,22.4,5,0,0,0
1986,4,27,34,23,4,0,0,0
1986,4,28,36.4,19.2,5,18.4,1,18
1986,4,29,34,24,3,0,0,0
1986,4,30,33,24,4,0,0,0
1986,5,1,33.5,23.6,4,0.5,0,9
1986,5,2,33,23.6,2,0,0,0
1986,5,3,33.6,22.2,2,11.4,0,18
1986,5,4,33.8,22.6,2,0,0,0
1986,5,5,32.8,24.6,2,0,0,0
1986,5,6,36.6,25.4,2,0,0,0
1986,5,7,35.8,24.6,6,0.5,0,21
1986,5,8,37.1,24.8,4,0.8,0,15
1986,5,9,36.2,26.2,8,0,0,0
1986,5,10,36.8,26,12,0,0,0
1986,5,11,36.2,26.8,9,0,0,0
1986,5,12,35.2,26.6,6,0,0,0
1986,5,13,35,26.2,2,0,1,15
1986,5,14,,23.8,7,0,0,0
1986,5,15,36.8,24.6,6,0,0,0
1986,5,16,31,24.6,7,3.6,0,15
1986,5,17,36.2,25.2,9,0,0,0
1986,5,18,36.6,25.6,10,0,0,0
1986,5,19,36.8,25,11,0,0,0
1986,5,20,36.8,24.6,12,0,0,0
1986,5,21,36.5,25.2,9,0,3,36
1986,5,22,36,22.8,5,7.8,1,43
1986,5,23,35,24.4,3,0,0,0
1986,5,24,30.7,24.6,4,0,0,0
1986,5,25,36.4,24,8,8.2,0,25
1986,5,26,35.8,25.2,7,0,0,0
1986,5,27,36.6,25.2,9,0,0,0
1986,5,28,36.8,22.4,7,0,0,0
1986,5,29,36.4,26.4,8,0,0,0
1986,5,30,35,25.2,5,0,0,0
1986,5,31,33.8,24.2,4,0,0,0
1986,6,1,31.6,23.4,3,0,0,0
1986,6,2,34.2,24.4,3,0,0,0
1986,6,3,,23,3,1.6,0,20
1986,6,4,33,20.4,6,19.2,4,25
1986,6,5,30.5,23.2,8,0,0,0
1986,6,6,32,24.2,6,0,0,0
1986,6,7,35,24,6,0,0,30
1986,6,8,35.2,25.4,6,0,0,10
1986,6,9,34.8,24,7,0.8,0,10
1986,6,10,30.2,23.8,11,0,0,0
1986,6,11,33.8,24.4,11,0,0,0
1986,6,12,34.4,24.4,9,0,0,0
1986,6,14,34.6,22.8,9,0.5,0,10
1986,6,15,32.2,24.2,6,0,0,0
1986,6,16,31.8,23.2,9,0,0,0
1986,6,17,29.2,23,11,0,0,0
1986,6,18,29.6,23.2,13,0,0,0
1986,6,19,29.8,23.4,13,0,0,0
1986,6,20,31,22.6,10,0.7,0,7
1986,6,21,26.4,23.2,11,0,0,0
1986,6,22,32,22.6,11,0,0,0
1986,6,23,31.2,22.4,8,5.2,1,3
1986,6,24,29,23,12,0,0,0
1986,6,25,29.2,23.2,12,0,0,0
1986,6,26,31.1,22.6,12,0,0,0
1986,6,27,32.5,22.7,6,0.5,0,0
1986,6,28,31.8,22.8,10,0,0,0
1986,6,29,27.6,22.5,9,0,0,0
1986,6,30,31.6,22.2,17,0,0,0
1986,7,1,30.2,22.6,8,0,0,0
1986,7,2,32.2,23.2,5,0.5,0,5
1986,7,3,,23,4,4.3,0,12
1986,7,4,34,24.6,4,1.2,0,8
1986,7,5,32,23.7,8,0,0,0
1986,7,6,31,22.6,13,0,0,0
1986,7,7,32.8,22.6,6,0,0,0
1986,7,8,31.8,22.6,13,0,0,0
1986,7,9,33,22.5,13,0,0,0
1986,7,10,32,23,7,0,0,0
1986,7,11,31.2,23.4,13,0,0,0
1986,7,12,30.4,23.7,11,0,0,0
1986,7,13,31.2,22,11,2.2,0,35
1986,7,14,29.8,21.8,10,0,0,0
1986,7,15,28.2,22,16,1,0,11
1986,7,16,28.4,23,16,0,0,0
1986,7,17,28,23.2,18,1.5,0,8
1986,7,18,28,23,18,0,0,0
1986,7,19,30.5,22.2,18,0,0,0
1986,7,20,26.4,22.4,16,0.2,0,4
1986,7,21,30.6,23.1,17,0,0,0
1986,7,22,28.4,22.1,15,0,0,0
1986,7,23,30.8,22.1,14,0,0,0
1986,7,24,31.2,21.7,10,0,0,0
1986,7,25,30.6,20.8,7,6.5,0,30
1986,7,26,31.8,22.7,7,0,0,0
1986,7,27,32,23.2,7,0,0,0
1986,7,28,32.8,23,6,0,0,0
1986,7,29,32,22.6,5,0,0,0
1986,7,30,32.4,22.7,9,0,0,0
1986,7,31,31.6,21,8,14.2,4,38
1986,8,1,,20.6,4,0,0,0
1986,8,2,27.4,21.5,7,2.2,0,22
1986,8,3,28,19.8,9,22.8,7,0
1986,8,5,28.2,22.1,16,0,0,0
1986,8,6,27.8,22.6,16,0,0,0
1986,8,7,27.8,21.1,13,0.5,0,2
1986,8,8,29,22,12,8,0,43
1986,8,9,30.2,21.6,13,4,1,15
1986,8,10,25.2,22.2,9,0.4,0,5
1986,8,11,24.8,21.8,14,0.8,0,7
1986,8,12,27.4,21.7,16,5.2,0,7
1986,8,13,24.4,21.2,17,2.4,0,20
1986,8,14,26,21.8,16,0.2,0,10
1986,8,15,28.5,21.5,14,0,0,0
1986,8,16,30,21.5,11,0,0,0
1986,8,17,30.8,22.1,10,0,0,0
1986,8,18,31,21.8,14,0,0,0
1986,8,19,30.2,21.8,15,0,0,0
1986,8,20,29.4,21.6,13,0,0,0
1986,8,21,29.5,21.6,11,0,0,0
1986,8,22,30,21.8,12,0,0,0
1986,8,23,30.5,22.6,10,0,0,0
1986,8,24,30,23.6,6,0,0,6
1986,8,25,31.5,23,5,3.2,0,30
1986,8,26,31,23,6,0.2,0,18
1986,8,27,31,22.7,7,0,0,0
1986,8,28,31.4,22.2,6,0,3,0
1986,8,29,30.8,24,5,0,0,0
1986,8,30,31.4,22.6,4,0,0,0
1986,8,31,30.6,23.5,3,0,0,0
1986,9,1,31.2,23,5,0,0,0
1986,9,2,29.2,22.2,3,0.2,0,12
1986,9,3,27.2,20.6,4,0.2,0,15
1986,9,4,30.6,23,7,0,0,0
1986,9,5,30.2,22.1,10,0,0,0
1986,9,6,30.8,22.6,9,0,0,0
1986,9,7,26,22.4,9,0,0,0
1986,9,8,31.6,22,11,0,0,0
1986,9,9,29.6,21.5,9,1,0,30
1986,9,10,24.4,20.1,13,8.4,2,20
1986,9,11,27.4,21.6,11,0,0,0
1986,9,12,29.8,22.1,6,0,0,0
1986,9,13,31.6,23.1,4,0,0,0
1986,9,14,30.6,22.4,2,0,0,0
1986,9,15,28,22,3,0,1,5
1986,9,16,25,21.7,3,6.2,2,36
1986,9,17,28.6,19.7,3,19.2,2,15
1986,9,18,29.4,21.6,1,1.6,0,29
1986,9,19,29.6,20.2,2,6.4,0,30
1986,9,20,30.6,20.1,2,24.4,5,50
1986,9,21,29.2,22.5,1,1,0,15
1986,9,22,29.2,22.6,2,0,0,0
1986,9,23,30,21.2,4,0,0,0
1986,9,24,29.4,23.1,3,0,0,0
1986,9,25,28.6,23.2,3,0,0,0
1986,9,26,29.8,23.2,3,0,0,0
1986,9,27,30.2,22.1,3,3,1,55
1986,9,28,29,21.5,3,5,0,0
1986,9,29,29,22,2,0,0,0
1986,9,30,28,21.6,2,1.2,0,20
