YEAR,MN,DT,MAX,MIN,AW,RF,DRNRF(hrs),DRNRF(mnts)
1985,1,1,,19.6,1,4.4,  ,  
1985,1,2,,19.5,0,22.6,1,35
1985,1,3,,18.4,0,1,1,30
1985,1,4,,18.6,0,2.5,  ,  
1985,1,5,,17.9,0,0,0,0
1985,1,6,,16.2,0,0,0,0
1985,1,7,,17.2,1,0,0,0
1985,1,8,,19.1,2,0,0,0
1985,1,9,,17.6,2,0,0,0
1985,1,10,,16.1,2,0,0,0
1985,1,11,,15.6,2,0,0,0
1985,1,12,,16.5,2,0,0,0
1985,1,13,,16.3,1,0,0,0
1985,1,14,,16.2,5,0,0,0
1985,1,15,,16.2,4,0,0,0
1985,1,16,,16.6,5,0,0,0
1985,1,17,,16.6,3,0,0,0
1985,1,18,,16.3,4,0,0,0
1985,1,19,,16.6,2,0,0,0
1985,1,20,,17.4,3,0,0,0
1985,1,21,,16.4,5,0,0,0
1985,1,22,,14.6,4,0,0,0
1985,1,23,,14.1,3,0,0,0
1985,1,24,,15,1,0,0,0
1985,1,25,,14.7,3,0,0,0
1985,1,26,,15.2,2,0,0,0
1985,1,27,,14.8,2,0,0,0
1985,1,28,,14.6,2,0,0,0
1985,1,29,,14.1,2,0,0,0
1985,1,30,,13,2,0,0,0
1985,1,31,,17,4,0,0,0
1985,2,1,,18,5,0,0,0
1985,2,2,,18.1,2,0,0,0
1985,2,5,,14.5,2,0,0,0
1985,2,7,,18.6,2,0,0,0
1985,2,8,,18.6,3,0,0,0
1985,2,9,,17.1,3,0,0,0
1985,2,10,,18.4,3,0,0,0
1985,2,11,,20,2,0,0,0
1985,2,12,,20.2,3,0,0,0
1985,2,13,,20.6,5,0,0,0
1985,2,14,,18.1,7,0,0,0
1985,2,15,32.7,18.5,5,0,0,0
1985,2,16,31.8,19.1,1,0,0,0
1985,2,17,30.6,18.6,2,0,0,0
1985,2,18,29.8,17.6,5,0,0,0
1985,2,19,28.8,17.4,3,0,0,0
1985,2,20,30.2,17.7,3,0,0,0
1985,2,22,30.8,17.1,4,0,0,0
1985,2,23,29.4,16.2,5,0,0,0
1985,2,24,29.6,14.5,5,0,0,0
1985,2,25,30,14.6,5,0,0,0
1985,2,26,29.8,14.6,4,0,0,0
1985,2,27,32,14.4,3,0,0,0
1985,2,28,31.8,18.4,4,0,0,0
1985,3,1,30.4,17.8,5,0,0,0
1985,3,2,33.2,20.4,5,0,0,0
1985,3,3,33.4,19,2,0,0,0
1985,3,4,33.9,20.6,4,0,0,0
1985,3,5,33.4,20.1,5,0,0,0
1985,3,6,31.8,20.2,6,0,0,0
1985,3,7,32,20.2,5,0,0,0
1985,3,8,32.3,20.6,8,0,0,0
1985,3,9,33.8,17,6,0,0,0
1985,3,10,32,17.8,7,0,0,0
1985,3,11,32.5,18.4,8,0,0,0
1985,3,12,31.2,18.4,7,0,0,0
1985,3,13,32.5,20.1,7,0,0,0
1985,3,14,30.6,17.8,7,0,0,0
1985,3,15,30,18.4,6,0,0,0
1985,3,16,33.2,16.4,7,0,0,0
1985,3,17,31.6,17,7,0,0,0
1985,3,18,30.5,20.8,7,0,0,0
1985,3,19,31.6,21.1,7,0,0,0
1985,3,20,31.4,20.5,9,0,0,0
1985,3,21,34,20,7,0,0,0
1985,3,22,32,19.9,7,0,0,0
1985,3,23,32.2,20.6,8,0,0,0
1985,3,24,32.6,23,4,0,0,0
1985,3,25,32.8,20.6,6,0,0,0
1985,3,26,32.8,22.4,3,0,0,0
1985,3,27,,20.6,6,0,0,0
1985,3,28,34.8,21.7,6,0,0,0
1985,3,29,35,23.2,6,0,0,0
1985,3,30,34.4,23.8,6,0,0,0
1985,3,31,35,23.7,6,0,0,0
1985,4,1,32,21,6,0,0,0
1985,4,2,25.8,23.2,6,0,0,0
1985,4,3,27.2,21.5,5,0,0,0
1985,4,4,28.6,21.2,3,0,0,0
1985,4,5,29.6,22.5,6,0,0,0
1985,4,6,34,21.4,3,8.8,0,45
1985,4,7,28.4,21.7,2,0,0,0
1985,4,8,30.5,22.4,2,0,0,0
1985,4,9,30.6,23.8,2,0,0,0
1985,4,10,29.6,24,1,0,0,0
1985,4,11,32.5,24.6,2,0,0,0
1985,4,12,37.8,27,3,0,0,0
1985,4,13,35.8,25.9,2,0,0,0
1985,4,14,36.6,26.4,2,0,0,0
1985,4,15,34,25.4,2,1.6,0,10
1985,4,16,36.4,25.6,2,0,0,10
1985,4,17,36.2,24.7,1,0,0,0
1985,4,18,35,23,2,8,0,39
1985,4,19,36.6,21.7,1,3.2,0,23
1985,4,20,31,23.6,2,0,0,0
1985,4,21,29.8,22.2,3,0,0,0
1985,4,22,33.4,22,2,0,0,0
1985,4,24,34.2,26,4,0,0,0
1985,4,25,30.6,25.8,4,0,0,0
1985,4,26,27.7,22.4,6,4.6,0,10
1985,4,27,36.2,24.6,4,0,0,0
1985,4,28,30.2,26.2,4,0,0,0
1985,4,29,34.5,25,3,0,0,0
1985,5,1,31,25.4,7,0,0,0
1985,5,2,37,25.6,3,0,0,0
1985,5,3,35.8,25,6,0,0,0
1985,5,4,36.6,25.6,3,0,0,0
1985,5,5,36.6,26.2,2,0,0,0
1985,5,6,36,26.4,3,0,0,0
1985,5,7,33.1,24,4,0,0,0
1985,5,8,36.5,23,4,0,0,0
1985,5,9,30.5,22,5,0,0,0
1985,5,10,36,23.2,3,0,0,0
1985,5,11,36.4,24.5,4,0,0,0
1985,5,12,37,24.2,2,0,0,0
1985,5,13,34.6,24.8,2,0,0,0
1985,5,14,29.8,24.2,3,0,0,0
1985,5,15,37.4,25,3,0,0,0
1985,5,16,36,25,3,0,0,0
1985,5,17,37,24.3,3,0,0,0
1985,5,18,36,23.3,4,0,0,0
1985,5,19,34.2,23.2,4,0,0,0
1985,5,20,35.2,25,4,0,0,0
1985,5,21,35.2,24.2,5,0,0,0
1985,5,22,32.2,25,6,1.6,0,10
1985,5,23,33.5,25.2,8,0,0,0
1985,5,24,35.2,25.2,12,0,0,0
1985,5,25,34.7,25,11,0,0,0
1985,5,26,31.6,25.5,14,0,0,0
1985,5,27,34.9,25.3,9,0,0,0
1985,5,28,31.8,23.5,10,5.6,1,15
1985,5,29,33.6,23.6,9,0,0,0
1985,5,30,35.2,24,9,0.2,0,30
1985,6,1,30.4,24.3,7,0,0,0
1985,6,2,25.4,23.4,7,6.2,0,17
1985,6,3,30,23.8,5,0,0,0
1985,6,4,32.2,24.3,9,0,0,0
1985,6,5,24.6,23.2,9,4.8,0,34
1985,6,6,30,22.1,9,3.8,1,11
1985,6,7,23.4,22,6,3.2,2,0
1985,6,8,27,22.6,8,0,0,0
1985,6,9,31.6,22.6,8,0,0,0
1985,6,10,31.2,23,8,0,0,0
1985,6,11,28.6,22.7,12,0,0,0
1985,6,12,32,22.6,11,0,0,0
1985,6,13,24.8,23.1,11,0,0,0
1985,6,14,29.4,23.1,11,0,0,0
1985,6,15,28.4,23,14,0,0,0
1985,6,16,28.2,21.5,11,0,0,0
1985,6,17,30.2,22.2,13,0,0,0
1985,6,18,29.7,22.6,14,0,0,0
1985,6,19,24.7,23.6,9,0,0,0
1985,6,20,30,23.4,18,0,0,0
1985,6,21,27.4,22.7,9,0,0,0
1985,6,22,30,23.1,14,0,0,0
1985,6,23,30.4,23.5,14,0,0,0
1985,6,24,24.4,21.9,11,6,2,0
1985,6,25,23.8,22.2,13,0.5,0,10
1985,6,26,24.6,22.6,16,0,0,0
1985,6,27,26.6,22.8,14,0.1,0,3
1985,6,28,30,21.7,10,4.4,0,18
1985,6,29,25.6,23,12,0.8,0,6
1985,6,30,30.4,22.1,11,0,0,0
1985,7,1,25.8,22,9,0.2,0,3
1985,7,2,28,21.6,11,0,0,0
1985,7,3,29,22,13,0,0,0
1985,7,4,28,22.6,9,0,0,0
1985,7,5,23.8,22.5,9,0,0,0
1985,7,6,29.6,22.1,9,0,0,0
1985,7,7,24.6,22.5,10,0,0,0
1985,7,8,24.2,22.1,10,5.2,0,35
1985,7,9,24.8,22.6,9,0,0,0
1985,7,10,30,23.4,15,0,0,0
1985,7,11,25.2,23.1,12,0,0,0
1985,7,12,30,23.2,9,0,0,0
1985,7,13,25,23.2,5,0.3,0,2
1985,7,14,30.2,23.1,4,0,0,0
1985,7,15,30,22.8,9,0,0,0
1985,7,16,29.2,22.6,9,0,0,0
1985,7,17,26.8,22.6,7,0,0,0
1985,7,18,24.2,21.7,4,0,0,0
1985,7,19,29.2,23,8,0,0,0
1985,7,20,29.8,20.7,9,45.6,15,0
1985,7,21,22,20.2,5,45,3,50
1985,7,22,21.4,20.1,5,14.2,3,5
1985,7,23,23.6,21.8,2,7,0,41
1985,7,24,23,21.3,7,5,3,45
1985,7,25,23.6,22.6,6,0.3,0,7
1985,7,26,22.8,20.7,9,12.6,1,45
1985,7,27,26.8,20.1,9,20.6,6,30
1985,7,28,23,21.6,9,0,0,0
1985,7,29,23.4,21.7,7,0,0,0
1985,7,30,22.4,21.6,10,0.6,0,13
1985,7,31,23.4,21.7,9,0,0,0
1985,8,1,22.6,21.4,10,5.4,  ,  
1985,8,2,25.4,21.7,12,0,0,0
1985,8,3,28.4,21.2,8,0.3,0,15
1985,8,4,29.2,21.3,8,0,0,0
1985,8,5,31,22.5,10,0,0,0
1985,8,6,28.8,22.5,9,0,0,0
1985,8,7,30,22.4,8,0,0,0
1985,8,8,29.2,22.3,8,0,0,0
1985,8,9,28,22.1,11,0,0,0
1985,8,10,30,22.3,11,0,0,0
1985,8,11,30.1,21.7,9,3.4,0,28
1985,8,12,31.4,23.6,12,0,0,0
1985,8,13,31,22.6,10,0,0,0
1985,8,14,27.2,22,13,0.7,0,14
1985,8,15,23.8,21.4,13,8.5,4,46
1985,8,16,23.8,22.1,12,0,0,0
1985,8,17,29.2,21.7,12,0,0,0
1985,8,18,31.6,22,6,0,0,0
1985,8,19,31.6,23.6,4,0,0,0
1985,8,20,30.7,22.2,6,0,0,0
1985,8,21,28.4,23.4,5,0,0,0
1985,8,22,31.2,23,3,0,0,0
1985,8,23,31.6,20.6,4,50,4,40
1985,8,24,29,21,6,3,1,40
1985,8,25,29.2,22,4,0,0,0
1985,8,26,29.8,22.2,6,0,0,0
1985,8,27,28.4,22.1,6,0,0,0
1985,8,28,29.2,21.7,7,11.6,0,30
1985,8,29,28,21.2,6,0.4,0,4
1985,8,30,29.2,21.7,4,0,0,0
1985,8,31,29.8,22.1,4,0,0,0
1985,9,1,29.6,23.2,4,0,0,0
1985,9,2,29.4,22.6,2,0,0,0
1985,9,3,26.5,23,2,0,0,0
1985,9,4,29.2,21.4,3,0.4,0,2
1985,9,5,29.6,21.6,5,9,0,35
1985,9,6,29.4,21.2,6,8.2,0,22
1985,9,7,26.6,22,9,0,0,0
1985,9,8,24.2,20.6,8,5.8,1,29
1985,9,9,27,20.4,6,18,3,30
1985,9,10,27.6,22,4,0,0,0
1985,9,11,28.6,22,7,0.5,0,15
1985,9,12,26.2,21.2,11,2,0,15
1985,9,13,26.2,19.6,9,0,0,0
1985,9,14,27,20.8,10,0,0,0
1985,9,15,29.6,21.2,6,0,0,0
1985,9,16,29.8,23,4,0,0,0
1985,9,17,29.8,23.2,4,0,0,0
1985,9,18,29.8,21.6,3,0,0,0
1985,9,19,30.4,22.4,4,2,  ,  
1985,9,20,30,22.4,7,0,0,0
1985,9,21,27.8,22.4,5,0,0,0
1985,9,22,30.2,22.4,4,0,0,0
1985,9,23,28.8,21.4,4,0,0,0
1985,9,24,24,22,3,0,0,2
1985,9,25,28.6,20.8,2,0.2,0,2
1985,9,26,26.6,21.4,2,0,0,0
1985,9,27,28.2,21,4,0.2,0,22
1985,9,28,29.9,21.4,2,0.5,0,5
1985,9,29,30.8,21,4,0,0,0
1985,9,30,,20,2,30.6,1,0
1985,10,1,24.2,21.4,2,0,0,0
1985,10,2,24.6,21.2,4,1,0,15
1985,10,3,29.2,21.6,2,2.8,0,49
1985,10,4,27.6,20.2,1,5.2,0,39
1985,10,5,29.4,21,3,0,0,0
1985,10,6,27.8,20,1,25.6,1,28
1985,10,7,22.4,19.8,3,50.8,6,41
1985,10,8,27.8,19,4,0,0,0
1985,10,9,24.6,21.6,3,0,0,0
1985,10,10,27.4,20,4,58.4,1,45
1985,10,11,26.2,20.8,4,5.4,0,35
1985,10,12,27,20.8,4,0,0,0
1985,10,13,28.2,21,2,0,0,0
1985,10,14,28.2,21,1,0,0,0
1985,10,15,27.2,21.6,3,0,0,0
1985,10,16,27.6,20.8,2,0,0,0
1985,10,17,26.4,19.4,1,0,0,0
1985,10,18,28,21,2,0,0,0
1985,10,19,28.6,21.8,1,0,0,0
1985,10,20,25,19.6,0,0,0,0
1985,10,21,27.8,17.6,1,0,0,0
1985,10,22,27,17.6,1,0,0,0
1985,10,23,26.5,16.6,1,0,0,0
1985,10,24,26,15.2,2,0,0,0
1985,10,25,26.6,17,1,0,0,0
1985,10,26,25.6,21,2,0,0,0
1985,10,27,25.2,18.2,1,0,0,0
1985,10,28,28.2,16.8,1,0,0,0
1985,10,29,26.8,17.6,1,0,0,0
1985,10,30,27.2,17,1,0,0,0
1985,10,31,28,17.8,1,0,0,0
1985,11,1,26.8,16.2,1,0,0,0
1985,11,2,26.8,16.2,2,0,0,0
1985,11,3,25.6,16.6,2,0,0,0
1985,11,4,23.1,19.4,1,0,0,0
1985,11,5,21,19.6,1,26.2,6,42
1985,11,6,23,18.8,1,4,0,0
1985,11,7,23.4,20,2,0.1,0,3
1985,11,8,23,20.2,2,6.8,0,16
1985,11,9,21.6,18.6,1,8.8,1,21
1985,11,10,22.1,19,1,0,0,0
1985,11,11,22.8,19,3,20.5,5,20
1985,11,12,20,18,5,5.6,1,29
1985,11,13,19.5,15.4,1,34,16,8
1985,11,14,18.4,14.6,4,3.6,1,20
1985,11,15,24.6,14.8,2,0,0,0
1985,11,16,23.4,15.8,2,0,0,0
1985,11,17,25.2,17.4,0,0,0,0
1985,11,18,25.6,19.4,1,0,0,0
1985,11,19,27.6,21,0,0,0,0
1985,11,20,27.6,20,4,0,0,0
1985,11,21,26.8,18.4,1,0,0,0
1985,11,22,26.6,16.4,1,0,0,0
1985,11,24,25.8,15.4,0,0,0,0
1985,11,25,25,14.6,1,0,0,0
1985,11,26,24,14.6,1,0,0,0
1985,11,27,23.6,15,1,0,0,0
1985,11,28,23.6,14.2,1,0,0,0
1985,11,29,24.8,14.1,2,0,0,0
1985,11,30,22.4,13.2,1,0,0,0
1985,12,1,24.5,17.6,1,0,0,0
1985,12,2,20.8,19.2,0,8.4,1,30
1985,12,3,20.8,19.2,0,37.2,3,13
1985,12,4,22.2,16.7,1,1.6,0,27
1985,12,5,24,16,4,0,0,0
1985,12,6,24.6,16.8,0,0,0,0
1985,12,7,24,16.2,0,0,0,0
1985,12,8,24.4,15.5,0,0,0,0
1985,12,9,24.4,15.4,0,0,0,0
1985,12,10,24.2,15.1,0,0,0,0
